Date,Ticker,Open Price,Close Price,High Price,Low Price,Volume Traded,Market Cap,PE Ratio,Dividend Yield,EPS,52 Week High,52 Week Low,Sector
03-01-2025,GII,225.60,226.48,226.67,225.50,15024825,2611714189.72,15.90,0.79,14.24,258.19,183.45,Financials
03-01-2025,IYT,188.49,185.77,189.92,185.14,6443916,2061321086.08,22.67,1.62,8.19,208.06,156.05,Communication Services
04-01-2025,KAS,131.44,129.86,133.50,126.70,8988259,1091308167.09,9.70,0.14,13.39,138.95,92.2,Technology
04-01-2025,ABD,113.72,113.66,117.11,110.09,11511186,1473335191.79,21.96,0.87,5.18,126.16,87.52,Healthcare
04-01-2025,JCI,166.54,165.35,171.36,164.84,1368099,1553148696.57,36.91,2.41,4.48,180.23,132.28,Energy
04-01-2025,MBI,51.43,53.27,55.70,51.10,3668193,322521473.89,26.59,0.53,2,58.06,48.48,Industrials
04-01-2025,BDE,125.25,125.77,126.65,123.81,904498,825869630.21,15.66,2.96,8.03,150.92,94.33,Consumer Staples
04-01-2025,IOU,87.63,90.99,91.21,85.31,11106375,949948747.44,19.76,2.88,4.6,102.82,67.33,Materials
04-01-2025,KEL,198.63,199.65,200.33,196.45,17545366,2753631294.59,30.59,0.55,6.53,213.63,167.71,Real Estate
04-01-2025,HJH,31.35,30.95,33.76,29.51,17927668,462273678.65,14.51,2.86,2.13,31.57,22.28,Utilities
04-01-2025,GII,210.75,208.78,212.63,208.09,5386725,3034782521.09,26.26,1.49,7.95,212.96,196.25,Financials
04-01-2025,IYT,185.84,183.33,188.76,183.16,6759859,2339606767.02,20.12,1.46,9.11,209,177.83,Communication Services
05-01-2025,KAS,116.12,117.96,119.98,112.66,15388581,597013133.78,37.42,0.89,3.15,120.32,93.19,Technology
05-01-2025,ABD,119.85,118.91,120.29,115.02,6932941,1318448975.33,34.74,1.66,3.42,142.69,102.26,Healthcare
05-01-2025,JCI,170.66,171.13,171.18,170.44,6366319,1097177860.73,29.38,1.15,5.82,186.53,164.28,Energy
05-01-2025,MBI,46.96,47.12,48.30,45.57,7738110,332438791.92,32.46,2.71,1.45,55.13,45.71,Industrials
05-01-2025,BDE,115.69,115.43,117.92,114.49,9594112,886565217.98,29.23,0.15,3.95,125.82,96.96,Consumer Staples
05-01-2025,IOU,96.32,98.83,100.86,96.08,16629695,756177080.47,31.17,1.36,3.17,98.83,82.03,Materials
05-01-2025,KEL,196.09,192.85,196.09,192.39,9012183,2671342078.58,11.78,2.50,16.37,194.78,142.71,Real Estate
05-01-2025,HJH,41.90,40.63,46.61,39.90,4577041,575621184.52,32.93,1.56,1.23,45.91,38.6,Utilities
05-01-2025,GII,214.43,211.88,215.65,209.57,4225807,2010968811.89,34.17,1.47,6.2,220.36,192.81,Financials
05-01-2025,IYT,196.84,196.64,201.29,192.88,18941344,2654953304.48,15.53,0.13,12.66,228.1,167.14,Communication Services
06-01-2025,KAS,127.55,128.98,129.39,126.66,3312070,1565758800.85,9.21,0.02,14,139.3,101.89,Technology
06-01-2025,ABD,115.48,112.81,116.12,111.35,8538831,1685656277.83,37.23,1.52,3.03,116.19,108.3,Healthcare
06-01-2025,JCI,174.84,174.69,175.28,171.62,12354952,2406342286.87,11.13,1.38,15.7,188.67,138.01,Energy
06-01-2025,MBI,47.21,45.74,49.59,43.01,2574197,357800256.62,21.70,1.96,2.11,54.43,44.83,Industrials
06-01-2025,BDE,127.75,127.46,131.19,123.87,559885,1356112408.93,25.75,0.17,4.95,151.68,110.89,Consumer Staples
06-01-2025,IOU,100.80,98.44,101.18,96.95,2438980,899695535.01,20.60,0.49,4.78,112.22,94.5,Materials
06-01-2025,KEL,196.68,199.75,201.18,194.14,14011069,2911092269.73,32.63,1.31,6.12,239.7,163.79,Real Estate
06-01-2025,HJH,46.57,46.02,50.20,42.89,12699969,654324006.62,20.26,2.22,2.27,50.62,38.66,Utilities
06-01-2025,GII,224.60,221.87,226.88,219.80,14623669,1623170813.59,35.19,2.55,6.3,239.62,177.5,Financials
06-01-2025,IYT,178.95,176.12,181.98,175.05,5531073,955194144.41,33.45,2.63,5.27,202.54,142.66,Communication Services
07-01-2025,KAS,117.98,119.63,119.79,117.34,3152012,633896183.06,28.42,2.26,4.21,135.18,105.27,Technology
07-01-2025,ABD,123.39,125.00,127.83,118.79,1965832,1640879873.16,22.10,2.72,5.66,147.5,125,Healthcare
07-01-2025,JCI,164.97,163.45,168.31,162.58,19873614,2117002645.01,24.54,0.46,6.66,178.16,143.84,Energy
07-01-2025,MBI,45.52,47.40,48.88,45.10,18109084,629538124.36,12.20,2.58,3.89,52.61,36.5,Industrials
07-01-2025,BDE,124.48,126.33,127.16,124.22,15382467,1127043070.96,19.07,2.88,6.62,145.28,114.96,Consumer Staples
07-01-2025,IOU,91.98,91.97,94.33,87.47,1201280,523856584.34,27.29,2.53,3.37,104.85,73.58,Materials
07-01-2025,KEL,210.33,208.51,214.67,207.42,9261380,2093494934.15,11.95,0.43,17.45,246.04,189.74,Real Estate
07-01-2025,HJH,30.25,27.51,34.33,26.02,2818353,396270791.42,35.93,2.02,0.77,28.06,25.31,Utilities
07-01-2025,GII,227.65,231.83,232.30,224.08,1517242,1561613364.89,28.77,2.07,8.06,266.6,229.51,Financials
07-01-2025,IYT,178.85,178.39,180.62,177.84,920586,1179056511.3,18.04,0.21,9.89,212.28,137.36,Communication Services
08-01-2025,KAS,126.57,126.12,129.75,125.44,15738372,1426579665.65,32.99,2.93,3.82,143.78,118.55,Technology
08-01-2025,ABD,126.12,123.95,128.69,121.96,10748439,679323658.43,14.14,0.68,8.77,143.78,90.48,Healthcare
08-01-2025,JCI,173.16,169.47,173.43,168.99,18875389,1788027886.84,24.55,1.28,6.9,199.97,159.3,Energy
08-01-2025,MBI,40.92,40.62,42.17,39.26,17359210,278883568.24,31.67,1.91,1.28,43.06,28.84,Industrials
08-01-2025,BDE,110.08,111.83,112.44,106.87,12744854,821962046.97,39.18,1.56,2.85,127.49,92.82,Consumer Staples
08-01-2025,IOU,89.35,88.50,92.02,87.07,18211336,776152231.05,21.40,2.88,4.14,99.12,79.65,Materials
08-01-2025,KEL,200.70,199.84,203.23,198.21,15388616,1790479015.85,18.77,0.66,10.65,229.82,181.85,Real Estate
08-01-2025,HJH,29.35,28.52,32.19,27.88,12387854,227360374.62,12.32,0.94,2.31,30.23,25.38,Utilities
08-01-2025,GII,212.59,211.01,213.23,207.82,2520264,1684318004.95,35.00,0.97,6.03,213.12,164.59,Financials
08-01-2025,IYT,191.32,191.13,193.55,188.70,3342860,2611093251.61,37.47,2.02,5.1,223.62,158.64,Communication Services
09-01-2025,KAS,130.26,128.15,133.53,127.23,1753631,780324716.01,35.40,2.57,3.62,153.78,106.36,Technology
09-01-2025,ABD,119.27,116.86,119.97,115.47,5218801,750946795.84,32.73,2.01,3.57,128.55,107.51,Healthcare
09-01-2025,JCI,173.32,173.94,176.27,169.17,16050445,2585199416.8,25.29,2.81,6.88,175.68,140.89,Energy
09-01-2025,MBI,50.41,51.04,52.17,48.84,15307075,545835485.58,30.49,2.22,1.67,53.59,47.47,Industrials
09-01-2025,BDE,114.46,117.61,118.57,110.62,6614453,859869174.83,24.99,0.60,4.71,132.9,115.26,Consumer Staples
09-01-2025,IOU,104.34,104.62,106.35,103.60,15243613,656469950.09,32.35,2.19,3.23,115.08,91.02,Materials
09-01-2025,KEL,197.32,194.33,201.61,193.41,3528516,2083599405.15,20.65,1.81,9.41,207.93,159.35,Real Estate
09-01-2025,HJH,39.95,40.44,41.95,38.93,13654549,231270012.43,30.53,2.20,1.32,43.68,33.16,Utilities
09-01-2025,GII,218.52,219.89,223.47,217.56,14505875,2803369678.21,34.79,0.47,6.32,250.67,164.92,Financials
09-01-2025,IYT,188.56,189.13,189.26,186.18,17042508,1053023578.49,18.45,2.94,10.25,225.06,147.52,Communication Services
10-01-2025,KAS,117.08,120.41,121.71,116.75,4212220,1805418585.58,12.31,1.57,9.78,131.25,96.33,Technology
10-01-2025,ABD,116.66,116.24,118.52,116.13,10160976,1663991155.35,15.09,0.90,7.7,132.51,97.64,Healthcare
10-01-2025,JCI,174.40,175.44,177.46,170.65,16654768,1119620777.08,21.33,2.64,8.23,178.95,163.16,Energy
10-01-2025,MBI,57.73,55.37,60.24,53.34,12312678,345089952.43,19.51,1.37,2.84,59.8,45.96,Industrials
10-01-2025,BDE,120.57,120.59,123.15,120.41,10068704,1382779508.93,33.88,1.30,3.56,125.41,107.33,Consumer Staples
10-01-2025,IOU,103.56,103.31,106.90,101.29,3250423,1185012436.06,19.63,2.96,5.26,107.44,95.05,Materials
10-01-2025,KEL,196.03,193.09,200.60,192.49,3183125,1878058284.38,19.71,1.97,9.8,206.61,144.82,Real Estate
10-01-2025,HJH,39.04,37.29,39.84,35.69,8693852,500031496.39,30.12,0.73,1.24,44.38,35.8,Utilities
10-01-2025,GII,217.09,219.43,221.81,216.85,19309409,2587736539.07,29.55,1.68,7.43,228.21,160.18,Financials
10-01-2025,IYT,187.10,190.36,191.73,186.72,17382039,1738872029.94,36.19,2.27,5.26,220.82,156.1,Communication Services
11-01-2025,KAS,127.94,128.95,130.39,125.17,8813056,1327869117.7,10.37,2.95,12.43,141.84,91.55,Technology
11-01-2025,ABD,121.38,123.61,126.31,116.55,19648113,1145783886.09,9.30,1.37,13.29,139.68,96.42,Healthcare
11-01-2025,JCI,177.03,178.21,181.72,172.55,1736857,1152488717.6,20.65,2.64,8.63,183.56,162.17,Energy
11-01-2025,MBI,56.87,55.65,61.71,52.34,2938338,311917763.97,10.95,1.95,5.08,56.21,45.08,Industrials
11-01-2025,BDE,128.09,128.49,129.35,126.92,11478769,1369765054.32,34.62,0.13,3.71,147.76,124.64,Consumer Staples
11-01-2025,IOU,89.27,88.97,93.21,86.43,18479175,1117254663.82,38.66,0.82,2.3,105.87,88.08,Materials
11-01-2025,KEL,212.47,211.68,213.46,207.82,9598227,2252521831.56,38.39,0.56,5.51,245.55,182.04,Real Estate
11-01-2025,HJH,37.04,39.75,40.30,32.37,17435449,294817576,36.66,0.33,1.08,43.33,28.62,Utilities
11-01-2025,GII,228.43,227.54,232.09,225.77,17484317,2979881552.76,17.94,1.93,12.68,248.02,197.96,Financials
11-01-2025,IYT,183.42,182.83,185.97,182.32,11571530,1210442509.84,37.04,0.08,4.94,217.57,131.64,Communication Services
12-01-2025,KAS,115.97,116.99,117.61,112.67,2667628,717007447.53,14.29,2.79,8.19,116.99,94.76,Technology
12-01-2025,ABD,120.20,117.82,123.66,117.20,5286553,763708159.76,31.95,1.38,3.69,133.14,102.5,Healthcare
12-01-2025,JCI,168.89,168.78,172.59,166.40,9824300,2428689673.61,19.96,0.26,8.46,170.47,146.84,Energy
12-01-2025,MBI,51.48,53.73,53.80,48.06,10052815,724890664.19,37.57,2.74,1.43,58.57,51.04,Industrials
12-01-2025,BDE,125.50,124.65,127.73,122.79,10268969,1645488122.28,14.34,0.83,8.69,149.58,117.17,Consumer Staples
12-01-2025,IOU,91.26,94.53,94.57,87.73,14072799,1391950930.09,15.89,0.64,5.95,108.71,78.46,Materials
12-01-2025,KEL,196.98,196.99,197.54,193.10,4901924,2697607650.41,23.20,2.48,8.49,196.99,189.11,Real Estate
12-01-2025,HJH,40.71,40.28,43.09,39.30,12831511,433428272.77,33.12,2.47,1.22,43.1,36.65,Utilities
12-01-2025,GII,216.90,215.88,218.08,215.39,8291903,1565496630.14,36.25,2.35,5.96,230.99,170.55,Financials
12-01-2025,IYT,177.80,174.79,181.05,174.24,9182447,2387338894.47,23.63,2.58,7.4,181.78,162.55,Communication Services
13-01-2025,KAS,123.18,124.60,126.10,121.97,11495457,820049664.45,20.47,2.52,6.09,133.32,98.43,Technology
13-01-2025,ABD,112.25,111.98,113.32,111.58,19733629,1225293102.06,19.81,2.33,5.65,115.34,92.94,Healthcare
13-01-2025,JCI,164.37,163.94,166.51,161.03,11377606,1776915250.51,34.33,1.58,4.78,193.45,131.15,Energy
13-01-2025,MBI,43.23,45.85,46.77,39.04,15183135,388304872.09,38.14,1.03,1.2,52.27,38.97,Industrials
13-01-2025,BDE,120.49,119.42,121.09,116.67,1695663,906336635.16,28.19,2.00,4.24,131.36,101.51,Consumer Staples
13-01-2025,IOU,106.69,109.49,109.57,102.61,19632360,1517297922.65,13.45,0.34,8.14,112.77,96.35,Materials
13-01-2025,KEL,207.97,206.48,208.50,206.34,12928870,2547826039.31,9.23,0.17,22.37,206.48,189.96,Real Estate
13-01-2025,HJH,38.96,38.95,40.54,38.00,2152204,327894235.7,27.75,1.81,1.4,40.9,29.6,Utilities
13-01-2025,GII,220.11,218.57,220.67,216.15,989148,1710274037.47,37.10,0.82,5.89,251.36,187.97,Financials
13-01-2025,IYT,184.96,186.15,189.91,184.48,7553360,1619731421.83,17.10,0.33,10.89,219.66,150.78,Communication Services
14-01-2025,KAS,122.44,122.21,123.18,122.06,14579831,664380509.15,33.44,2.40,3.65,130.76,91.66,Technology
14-01-2025,ABD,113.79,114.94,117.09,111.19,10848774,1090353285.18,20.97,2.05,5.48,122.99,100,Healthcare
14-01-2025,JCI,174.39,173.12,176.63,169.60,10627030,918040334.07,36.95,1.42,4.69,202.55,147.15,Energy
14-01-2025,MBI,52.77,55.65,57.15,52.11,8637354,785655914.09,33.33,1.01,1.67,57.88,53.42,Industrials
14-01-2025,BDE,128.70,129.59,132.59,127.82,19700042,1237257025.97,37.73,2.34,3.43,133.48,97.19,Consumer Staples
14-01-2025,IOU,92.07,92.59,95.69,90.71,1697331,1334523501.71,15.94,2.05,5.81,97.22,88.89,Materials
14-01-2025,KEL,203.90,201.30,203.91,199.75,10438916,2416121170.36,29.42,1.13,6.84,221.43,148.96,Real Estate
14-01-2025,HJH,27.10,26.68,27.94,22.72,1637636,194732135.25,16.87,2.56,1.58,28.01,21.88,Utilities
14-01-2025,GII,212.65,210.29,214.90,209.49,13322840,1381659997.49,37.36,2.83,5.63,246.04,164.03,Financials
14-01-2025,IYT,194.66,193.54,195.31,190.58,12690121,1562750937.96,39.29,2.74,4.93,218.7,170.32,Communication Services
15-01-2025,KAS,124.83,126.31,126.90,121.57,12423129,740142288.27,36.46,2.62,3.46,137.68,104.84,Technology
15-01-2025,ABD,113.51,114.25,114.60,110.72,12400425,1048429152.33,18.25,0.72,6.26,124.53,99.4,Healthcare
15-01-2025,JCI,164.86,162.50,166.89,160.52,10758860,1338617338.47,32.73,0.23,4.96,177.13,128.38,Energy
15-01-2025,MBI,48.73,45.30,49.51,44.44,13419339,444887846.98,30.40,2.44,1.49,52.55,38.5,Industrials
15-01-2025,BDE,125.06,123.81,126.05,121.23,1305393,880117365.15,12.53,2.39,9.88,130,108.95,Consumer Staples
15-01-2025,IOU,93.70,93.01,93.78,92.27,7745699,549828680.04,37.09,1.47,2.51,106.96,84.64,Materials
15-01-2025,KEL,207.19,205.89,207.49,205.25,4260523,1763643314.38,36.54,2.75,5.63,220.3,170.89,Real Estate
15-01-2025,HJH,28.06,31.73,32.05,23.08,16415855,427839640.36,26.35,2.00,1.2,37.76,22.85,Utilities
15-01-2025,GII,224.74,227.58,229.56,223.98,18358739,2407952800.38,26.41,1.08,8.62,234.41,170.69,Financials
15-01-2025,IYT,190.93,192.97,194.33,190.19,2182303,2332889287.61,20.98,2.06,9.2,216.13,158.24,Communication Services
16-01-2025,KAS,117.94,117.01,121.66,113.36,14487322,733648132.64,8.80,0.67,13.3,127.54,106.48,Technology
16-01-2025,ABD,119.18,120.14,122.87,116.86,19149468,1653522829.47,11.53,0.53,10.42,133.36,103.32,Healthcare
16-01-2025,JCI,165.14,167.28,168.83,161.40,7525044,1617928415.36,26.83,0.79,6.23,190.7,148.88,Energy
16-01-2025,MBI,53.19,54.58,57.38,50.15,3277075,772738117.14,18.32,1.74,2.98,56.22,40.39,Industrials
16-01-2025,BDE,124.20,123.86,124.41,119.81,10852369,1799996187.85,35.27,1.36,3.51,127.58,90.42,Consumer Staples
16-01-2025,IOU,97.78,97.97,100.11,97.08,4786858,1000740763.99,22.37,1.55,4.38,117.56,94.05,Materials
16-01-2025,KEL,196.22,196.25,197.09,193.57,1226104,2397904431.99,38.44,0.68,5.11,213.91,180.55,Real Estate
16-01-2025,HJH,43.34,42.88,43.54,42.71,13718825,591708700.5,8.01,0.46,5.35,43.74,35.59,Utilities
16-01-2025,GII,213.94,212.97,218.15,211.11,4495854,1204320108.93,10.41,2.58,20.46,247.05,178.89,Financials
16-01-2025,IYT,194.65,193.67,196.10,193.41,871517,2125199311.72,17.09,1.59,11.33,205.29,168.49,Communication Services
17-01-2025,KAS,115.80,115.16,116.79,114.94,17722354,979567526.98,34.53,0.31,3.34,130.13,99.04,Technology
17-01-2025,ABD,128.44,129.73,132.11,123.70,7698377,802699699.45,35.41,0.93,3.66,146.59,119.35,Healthcare
17-01-2025,JCI,162.21,162.32,165.12,157.87,4540727,829653146.99,19.66,1.15,8.26,178.55,133.1,Energy
17-01-2025,MBI,42.01,43.77,44.47,41.78,5428423,433315881.9,28.82,1.68,1.52,48.15,40.71,Industrials
17-01-2025,BDE,117.76,118.79,120.98,113.46,5208391,1073353125.82,39.15,2.94,3.03,135.42,105.72,Consumer Staples
17-01-2025,IOU,103.88,101.70,105.03,101.14,4707388,1184884701.14,39.45,1.84,2.58,110.85,85.43,Materials
17-01-2025,KEL,212.51,214.27,214.35,212.36,7360907,1324920649.18,8.69,0.39,24.66,248.55,171.42,Real Estate
17-01-2025,HJH,36.12,35.54,36.57,35.03,12658433,397467630.57,29.21,2.36,1.22,42.65,28.43,Utilities
17-01-2025,GII,226.94,226.68,228.64,226.33,4126509,2361942902.44,23.82,1.08,9.52,240.28,181.34,Financials
17-01-2025,IYT,195.60,196.29,196.37,194.21,13428857,2395863788.19,24.55,1.79,8,215.92,149.18,Communication Services
18-01-2025,KAS,121.04,120.15,124.70,118.96,9980241,1581451933.09,13.29,0.28,9.04,141.78,91.31,Technology
18-01-2025,ABD,114.36,116.80,116.83,110.81,11599809,1165339896.5,37.17,2.06,3.14,119.14,88.77,Healthcare
18-01-2025,JCI,174.93,173.96,177.29,173.66,8562017,2388272932.72,15.49,1.22,11.23,187.88,168.74,Energy
18-01-2025,MBI,57.89,56.28,57.93,55.94,15493049,542275029.62,36.51,2.94,1.54,56.28,45.59,Industrials
18-01-2025,BDE,123.46,125.47,128.09,120.92,8643566,1450848341.21,11.51,0.37,10.9,138.02,106.65,Consumer Staples
18-01-2025,IOU,88.76,86.28,90.30,86.06,8694531,910132577.88,19.22,0.71,4.49,102.67,70.75,Materials
18-01-2025,KEL,205.96,205.91,210.66,205.27,2240456,2834247318.1,15.49,1.77,13.29,220.32,197.67,Real Estate
18-01-2025,HJH,44.58,43.74,45.08,43.29,12895904,393866030.3,15.69,2.44,2.79,51.61,38.93,Utilities
18-01-2025,GII,223.54,219.87,225.32,218.79,19419919,1651845142.52,8.27,1.07,26.59,239.66,158.31,Financials
18-01-2025,IYT,186.86,187.76,190.72,182.49,14169982,1503260636.4,27.53,2.25,6.82,197.15,146.45,Communication Services
19-01-2025,KAS,119.43,120.69,121.67,119.09,12754827,975858913.35,12.12,2.17,9.96,124.31,95.35,Technology
19-01-2025,ABD,122.98,122.06,124.20,120.30,7319990,776168220.47,15.18,1.39,8.04,139.15,89.1,Healthcare
19-01-2025,JCI,161.73,157.64,165.20,157.28,11126858,1254692782.51,15.17,0.59,10.39,165.52,149.76,Energy
19-01-2025,MBI,53.93,56.74,57.55,52.81,8697941,511025837.52,8.09,1.11,7.01,67.52,46.53,Industrials
19-01-2025,BDE,115.93,112.95,120.76,112.14,14791600,1614664571.77,13.47,0.97,8.39,118.6,98.27,Consumer Staples
19-01-2025,IOU,93.89,91.80,94.79,91.59,18396644,1268700168.11,8.28,0.95,11.09,93.64,90.88,Materials
19-01-2025,KEL,199.96,196.73,200.36,195.11,15437059,2570948862,24.47,2.31,8.04,216.4,180.99,Real Estate
19-01-2025,HJH,43.85,42.78,44.29,42.67,12876443,582022065.65,33.75,2.95,1.27,45.77,31.23,Utilities
19-01-2025,GII,227.61,223.28,228.50,223.20,11099377,2418704422.18,30.79,2.65,7.25,245.61,205.42,Financials
19-01-2025,IYT,183.44,183.86,186.11,179.86,18067896,1953585666.69,33.72,1.38,5.45,207.76,137.9,Communication Services
20-01-2025,KAS,132.15,129.04,132.20,128.05,3305157,1864410388.22,37.51,2.97,3.44,138.07,110.97,Technology
20-01-2025,ABD,113.99,109.57,114.25,109.32,6543064,610683775.36,34.14,0.96,3.21,109.57,90.94,Healthcare
20-01-2025,JCI,165.48,166.18,169.10,164.66,4487742,1477886265.85,22.68,0.04,7.33,182.8,157.87,Energy
20-01-2025,MBI,42.71,44.98,47.13,39.62,18509796,621367320.24,25.54,0.55,1.76,46.33,43.63,Industrials
20-01-2025,BDE,117.61,117.51,121.31,114.83,10980967,1085030875.47,26.57,1.35,4.42,119.86,102.23,Consumer Staples
20-01-2025,IOU,105.04,104.48,105.90,104.24,13986965,1149078260.43,28.40,2.41,3.68,124.33,82.54,Materials
20-01-2025,KEL,194.84,194.78,195.81,194.75,15879033,1592868114.96,21.09,1.84,9.24,202.57,161.67,Real Estate
20-01-2025,HJH,38.98,38.72,41.33,38.08,13498376,326718913.32,9.86,1.48,3.93,44.92,38.33,Utilities
20-01-2025,GII,214.76,215.27,215.37,214.53,9328251,2198312501.11,23.77,2.81,9.06,254.02,198.05,Financials
20-01-2025,IYT,177.68,174.79,178.18,173.53,11527285,2428782352.49,38.26,2.98,4.57,192.27,141.58,Communication Services
21-01-2025,KAS,119.79,117.02,120.19,116.95,3549136,744098964.92,9.61,1.31,12.18,117.02,98.3,Technology
21-01-2025,ABD,119.37,122.34,123.40,119.04,16189116,1176354502.84,10.36,0.94,11.81,143.14,111.33,Healthcare
21-01-2025,JCI,165.26,164.41,165.89,162.66,2815071,2181200628.03,16.15,1.31,10.18,182.5,139.75,Energy
21-01-2025,MBI,52.34,53.33,56.44,51.80,18235437,614659235.38,38.58,0.45,1.38,53.86,48.53,Industrials
21-01-2025,BDE,128.79,128.22,129.54,128.11,12721640,1213083264.2,26.29,0.09,4.88,132.07,103.86,Consumer Staples
21-01-2025,IOU,98.46,102.87,103.10,97.82,11542109,1213218553.19,13.94,2.42,7.38,120.36,80.24,Materials
21-01-2025,KEL,206.51,208.15,208.57,206.17,1701582,2043872356.26,27.00,0.14,7.71,245.62,168.6,Real Estate
21-01-2025,HJH,37.32,33.16,37.39,32.48,6863974,207292862.68,16.07,2.03,2.06,36.81,24.21,Utilities
21-01-2025,GII,220.99,223.83,224.00,220.03,1433351,2324616243.23,26.20,2.60,8.54,250.69,221.59,Financials
21-01-2025,IYT,196.78,199.30,200.44,195.77,19323811,1146201547.59,14.53,0.67,13.72,237.17,191.33,Communication Services
22-01-2025,KAS,113.58,113.55,113.70,113.31,5709313,1625882844.43,31.50,1.69,3.6,135.12,84.03,Technology
22-01-2025,ABD,113.81,114.34,115.63,109.66,19555081,978616135.96,34.85,2.61,3.28,117.77,97.19,Healthcare
22-01-2025,JCI,169.58,166.97,172.34,166.20,7747264,2130900836.52,31.92,2.71,5.23,171.98,146.93,Energy
22-01-2025,MBI,58.31,58.29,60.72,56.84,12355204,571538564.6,27.40,1.29,2.13,62.95,44.3,Industrials
22-01-2025,BDE,111.60,108.23,112.99,106.76,14321386,748235513.4,11.66,0.04,9.28,112.56,89.83,Consumer Staples
22-01-2025,IOU,89.32,89.29,91.97,89.05,12065101,744796513.16,21.78,0.98,4.1,96.43,74.11,Materials
22-01-2025,KEL,208.13,208.34,210.60,206.56,16718753,2762705938.65,12.44,0.30,16.75,210.42,193.76,Real Estate
22-01-2025,HJH,43.78,39.43,45.14,38.87,15790551,334627928.83,13.86,2.70,2.84,45.34,38.64,Utilities
22-01-2025,GII,224.30,220.02,224.69,219.34,18449514,1102458144.13,23.85,1.52,9.23,242.02,154.01,Financials
22-01-2025,IYT,196.58,194.14,196.84,192.13,13741658,1928446409.32,18.94,0.74,10.25,196.08,149.49,Communication Services
23-01-2025,KAS,130.93,131.49,131.64,130.03,7993035,837385703.44,37.48,2.43,3.51,156.47,114.4,Technology
